          themes_name          |    colors_name    | total_quantity 
 Minifig Pack                  | Black             |              4
 Minitalia                     | Red               |            691
 Mission Deep Freeze           | Black             |            609
 Mission Deep Sea              | Black             |            548
 Mistika                       | Black             |             92
 Model                         | Black             |           4031
 Model Team                    | Light Gray        |           3246
 Modular Buildings             | Light Bluish Gray |           6828
 Monster Fighters              | Light Bluish Gray |           1526
 Monthly Mini Model Build      | White             |            504
 Mosaic                        | White             |           4973
 M:Tron                        | Black             |            657
 My Own Creation               | Light Gray        |            486
 My Own Train                  | Black             |           1728
 Nexo Knights                  | Black             |           2198
 Ninja                         | Black             |            917
 Ninjago                       | Black             |           9441
 NXT                           | Black             |            840
 Off-Road                      | Black             |           5894
 Order of the Phoenix          | Light Bluish Gray |            266
 Orient Expedition             | Black             |            564
 Other                         | Light Bluish Gray |           2928
 Outback                       | Light Gray        |            126
 Paradisa                      | White             |           1008
 Phantoka                      | Black             |             82
 Pharaoh's Quest               | Tan               |            409
 Pick A Model                  | Black             |            132
 Piraka                        | Black             |             64
 Pirates                       | Black             |           1272
 Pirates I                     | Black             |           2730
 Pirates II                    | Black             |            657
 Pirates III                   | Black             |            474
 Pirates of the Caribbean      | Black             |           1859
 Planet Series 2               | Light Bluish Gray |             64
 Planet Series 3               | Black             |             87
 Planet Series 4               | Black             |             42
 Playhouse                     | White             |            582
 Playsets                      | Black             |           1290
 Police                        | White             |           7571
 Post Office                   | Red               |            114
 Power Functions               | Light Bluish Gray |             19
 Power Miners                  | Black             |            990
 Power Racers                  | Black             |           2871
 Prince of Persia              | Dark Bluish Gray  |            370
 Prisoner of Azkaban           | Light Bluish Gray |            436
 Promotional                   | White             |            416
 Protectors                    | Black             |             97
 Race                          | Black             |           5890
 Racers                        | Black             |            154
 Radio Control                 | Black             |            893
 Rahaga                        | Black             |             44
 Rahi                          | Black             |            897
 Rahkshi                       | Dark Gray         |            198
 Raiders of the Lost Ark       | Dark Bluish Gray  |            359
 RC Train                      | Black             |           2402
 RCX                           | Light Gray        |           2703
 Recreation                    | White             |            884
 Res-Q                         | Black             |            519
 Riding Cycle                  | Black             |           2231
 RoboForce                     | Black             |            473
 RoboRiders                    | Black             |            756
 Robot                         | Black             |            400
 Rock Raiders                  | Black             |            317
 Royal Knights                 | Light Gray        |            476
 Scala                         | White             |             29
 Scooby-Doo                    | Light Bluish Gray |            284
 Sculptures                    | White             |           8917
 Seasonal                      | White             |            238
 Series 1                      | Black             |             97
 Series 10 Minifigures         | Black             |             26
 Series 11 Minifigures         | Black             |             30
 Series 12 Minifigures         | Black             |             26
 Series 13 Minifigures         | Black             |             24
 Series 14 Minifigures         | Black             |             31
 Series 15 Minifigures         | Black             |             27
 Series 16 Minifigures         | Black             |             43
 Series 17 Minifigures         | Black             |             61
 Series 1 Minifigures          | Black             |             31
 Series 2                      | Black             |            149
 Series 2 Minifigures          | Black             |             40
 Series 3                      | Black             |            157
 Series 3 Minifigures          | Black             |             29
 Series 4                      | Black             |            156
 Series 4 Minifigures          | Black             |             31
 Series 5                      | Black             |             91
 Series 5 Minifigures          | Black             |             30
 Series 6                      | Black             |            131
 Series 6 Minifigures          | Black             |             30
 Series 7                      | Light Bluish Gray |            102
 Series 7 Minifigures          | Black             |             30
 Series 8                      | White             |            164
 Series 8 Minifigures          | Black             |             35
 Series 9                      | Black             |            205
 Series 9 Minifigures          | Black             |             29
 Service Packs                 | Black             |           1573
 Skull Spiders                 | Black             |             78
 Skylines                      | Tan               |            483
 Soccer                        | White             |           1905
 Soft Bricks                   | Red               |             96
 Sorcerer's Stone              | Light Gray        |            519
 Space                         | Blue              |            810
 Space Police I                | Black             |            710
 Space Police II               | Black             |            541
 Space Police III              | Black             |           1227
 Space Port                    | White             |            819
 Speed Champions               | Black             |           2049
 Speedorz                      | Black             |            389
 Speed Racer                   | Black             |            523
 Speed Slammers                | Black             |            519
 Spider-Man                    | Black             |           1156
 Spider-Man 2                  | Black             |             40
 SpongeBob SquarePants         | Red               |            521
 Sports                        | White             |             65
 Spybiotics                    | Black             |            628
 Spyrius                       | Black             |            712
 Stars                         | Dark Bluish Gray  |             18
 Star Wars                     | Black             |           8935
 Star Wars Clone Wars          | Light Bluish Gray |           5824
 Star Wars Episode 1           | Light Bluish Gray |           2049
 Star Wars Episode 2           | Light Bluish Gray |           1308
 Star Wars Episode 3           | Light Bluish Gray |           2653
 Star Wars Episode 4/5/6       | Light Bluish Gray |          20151
 Star Wars Episode 7           | Dark Bluish Gray  |            903
 Star Wars Episode 8           | Light Bluish Gray |             29
 Star Wars Expanded Universe   | Dark Bluish Gray  |             62
 Star Wars Expanded Universe   | Black             |             62
 Star Wars Other               | Black             |           1617
 Star Wars Rebels              | Light Bluish Gray |           2613
 Star Wars Rogue One           | Light Bluish Gray |           1265
 Station                       | White             |           1273
 Stingrays                     | Black             |            261
 Studios                       | Black             |            595
 Super Heroes                  | Black             |            959
 Superman                      | Black             |            286
 Supplemental                  | Red               |           6816
 Team GB                       | White             |             23
 Technic                       | Black             |          18917
 Teenage Mutant Ninja Turtles  | Light Bluish Gray |           1426
 Temple of Doom                | Dark Bluish Gray  |            261
 Thanksgiving                  | Reddish Brown     |            113
 The Battle of the Five Armies | Dark Bluish Gray  |            324
 The Desolation of Smaug       | Dark Bluish Gray  |            536
 The Fellowship of the Ring    | Dark Bluish Gray  |            561
 The Hobbit                    | Black             |              3
 The Hobbit                    | Tan               |              3
 The Hobbit                    | Reddish Brown     |              3
 The LEGO Movie                | Black             |           2561
 The LEGO Movie Series         | Black             |             31
 The Lone Ranger               | Black             |            584
 The Lord of the Rings         | Dark Bluish Gray  |             15
 The Return of the King        | Black             |            786
 The Simpsons                  | Black             |             32
 The Two Towers                | Black             |           1781
 Throwbot Slizer               | Black             |            472
 Time Cruisers                 | Light Gray        |            507
 Tiny Turbos                   | Black             |           3063
 Titans                        | Black             |           1948
 Toa                           | Black             |            210
 Toa Hagah                     | Black             |             41
 Toa Hordika                   | Dark Bluish Gray  |             72
 Toa Inika                     | Black             |             65
 Toa Mahri                     | Black             |             85
 Toa Metru                     | Black             |             77
 Toa Nuva                      | Black             |             96
 Toa Okoto                     | Black             |            140
 Tohunga                       | Black             |              9
 Town                          | White             |           4300
 Town Plan                     | White             |           2426
 Toy Story                     | Black             |            439
 Toy Story                     | Dark Bluish Gray  |            439
 Track System                  | Black             |            368
 Traffic                       | Black             |          12121
 Train                         | Black             |            854
 Trains                        | Dark Bluish Gray  |            640
 Turaga                        | Black             |            170
 UFO                           | Black             |            567
 Ultimate Collector Series     | Black             |           1843
 Ultra Agents                  | Black             |           1811
 Unitron                       | Black             |            632
 Universal Building Set        | Red               |           3117
 Universe                      | White             |             24
 Vahki                         | Black             |             88
 Valentine                     | Red               |            330
 Vehicle                       | Black             |             96
 Vehicles                      | Black             |            193
 Vikings                       | Black             |            639
 Villains                      | Black             |            957
 Visorak                       | Black             |             55
 Warriors                      | Black             |            890
 WeDo                          | White             |            138
 Western                       | Chrome Gold       |             18
 Williams F1                   | Black             |            962
 Wolfpack                      | Light Gray        |            126
 World City                    | Dark Gray         |            606
 World Racers                  | Black             |            809
 Xalax                         | Black             |             45
 X-Men                         | Black             |            182
 X-Pod                         | Black             |            113
 Znap                          | Black             |            427
(384 rows)

